time,MotorTorqueSet,MotorTorque,MotorVelocitySet,MotorVelocity,PropellerTorqueSet,PropellerTorque,PropellerVelocitySet,PropellerVelocity
0,0,1.9278,1000,999.94698,0.0238,0.0595,0,-665.98219
0.00099155,0,1.904,1000,999.94698,0.0238,0.0595,0,-665.98219
0.002015225,0,1.9159,1000,999.94698,0.0238,-0.0119,0,-665.98219
0.003004425,0,1.9278,1000,999.94698,0.0238,-0.0119,0,-665.98219
0.004008725,0,1.9516,1000,999.94698,0.0238,0.0238,0,-665.98219
0.00499435,0,1.9516,1000,999.893,0.0238,0.0595,0,-667.57518
0.005995025,0,1.9397,1000,999.893,0.0238,0.0119,0,-667.57518
0.006995325,0,1.9397,1000,999.893,0.0238,0.0238,0,-667.57518
0.00799695,0,1.9159,1000,999.893,0.0238,0.0119,0,-667.57518
0.009002225,0,1.9159,1000,999.893,0.0238,0.0238,0,-667.57518
0.00999265,0,1.9516,1000,999.893,0.0238,0.0238,0,-667.57518
0.010998475,0,1.9159,1000,999.893,0.0238,0.0357,0,-667.57518
0.012008575,0,1.904,1000,999.893,0.0238,0.0357,0,-667.57518
0.012997225,0,1.9397,1000,999.893,0.0238,0.0357,0,-667.57518
0.01400325,0,1.904,1000,999.893,0.0238,0,0,-667.57518
0.015001325,0,1.904,1000,999.893,0.0238,0.0476,0,-667.57518
0.01600105,0,1.904,1000,999.893,0.0238,0.0238,0,-667.57518
0.01699695,0,1.904,1000,999.893,0.0238,0.0119,0,-667.57518
0.018001675,0,1.8921,1000,999.893,0.0238,0.0357,0,-667.57518
0.018997525,0,1.8445,1000,999.893,0.0238,0.0238,0,-667.57518
0.01999695,0,1.8445,1000,999.893,0.0238,0.0119,0,-667.57518
0.0210005,0,1.8445,1000,999.893,0.0238,0.0357,0,-667.57518
0.022017425,0,1.8207,1000,999.893,0.0238,0.0238,0,-667.57518
0.02299025,0,1.8326,1000,999.893,0.0238,0.0357,0,-667.57518
0.0239981,0,1.8445,1000,999.893,0.0238,0.0238,0,-667.57518
0.0250067,0,1.8445,1000,999.893,0.0238,0.0119,0,-667.57518
0.0259959,0,1.7969,1000,999.893,0.0238,0.0238,0,-667.57518
0.027005075,0,1.8207,1000,999.893,0.0238,0,0,-667.57518
0.0280016,0,1.8445,1000,999.893,0.0238,0.0238,0,-667.57518
0.02900475,0,1.8445,1000,999.893,0.0238,0.0119,0,-667.57518
0.030003025,0,1.8207,1000,999.893,0.0238,0.0476,0,-667.57518
0.0310056,0,1.8088,1000,999.893,0.0238,0.0357,0,-667.57518
0.032022225,0,1.8445,1000,999.893,0.0238,0.0476,0,-667.57518
0.032991625,0,1.8088,1000,999.893,0.0238,0.0238,0,-667.57518
0.03399785,0,1.8445,1000,999.893,0.0238,0.0119,0,-667.57518
0.03500005,0,1.8802,1000,999.893,0.0238,0.0119,0,-667.57518
0.0359946,0,1.8683,1000,999.893,0.0238,0.0476,0,-667.57518
0.0369967,0,1.8564,1000,999.893,0.0238,0.0357,0,-667.57518
0.037989525,0,1.8921,1000,999.893,0.0238,0.0357,0,-667.57518
0.0389964,0,1.8921,1000,999.893,0.0238,0,0,-667.57518
0.040002,0,1.8921,1000,999.893,0.0238,0,0,-667.57518
0.041001425,0,1.9159,1000,999.893,0.0238,0.0238,0,-667.57518
0.042022925,0,1.8921,1000,999.893,0.0238,0.0357,0,-667.57518
0.042991925,0,1.8802,1000,999.893,0.0238,0.0238,0,-667.57518
0.043999025,0,1.9397,1000,999.893,0.0238,0,0,-667.57518
0.04500075,0,1.9397,1000,999.893,0.0238,0.0119,0,-667.57518
0.045994025,0,1.9516,1000,999.893,0.0238,0.0476,0,-667.57518
0.04699935,0,1.9635,1000,999.893,0.0238,0,0,-667.57518
